dt,Durazno,Sarandi_del_yi,Polanco_del_yi,Sarandi_del_Yi_level,Durazno_level,Polanco_level,Sarandi_del_Yi_precipitation,Polanco_precipitation,Durazno_precipitation,Precipitaciones_IMERG_Durazno,Precipitaciones_MERRA_Durazno,Precipitaciones_IMERG_Polanco_del_Yi,Precipitaciones_MERRA_Polanco_del_Yi,Precipitaciones_IMERG_Sarandi_del_Yi,Precipitaciones_MERRA_Sarandi_del_Yi,humedad_suelo,Temperatura,ET
7/13/17,0.0,0.0,0.0,2.12,3.6,4.35,0.0,0.0,0.0,0.0,6.44e-20,0.0,6.44e-20,0.0,4.32e-09,0.3004887126879096,19.780733460949108,2.6909382423976176
5/27/16,0.0,0.0,0.0,1.17,0.59,2.54,0.0,0.0,0.0,0.0,0.010886416,0.0,0.010886416,0.0,0.009997934,0.26514460917942645,13.999941560697422,2.396433900901504
4/6/16,0.043,0.023,0.041,0.87,0.33,1.63,10.0,18.0,23.0,23.9453182,0.649094582,27.1893692,0.649094582,34.0892296,2.90021896,0.27307749027894435,20.72523315950792,3.5258761829745833
10/23/17,0.0,0.0,0.0,2.01,5.4,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19482090093468424,15.700710640611918,2.097158864262073
12/2/16,0.003,0.002,0.001,1.36,1.79,3.86,0.0,0.0,0.0,8.00410843,4.6e-05,5.11491299,4.6e-05,0.503945529,5.07e-06,0.2766428928279777,17.7269314358807,3.3282150664317953
5/3/18,0.035,0.024,0.001,1.16,0.0,1.69,10.0,2.0,9.0,0.228059024,5.59e-06,0.400042415,5.59e-06,0.799897075,1.08e-05,0.2555858831208619,17.825808285225058,2.6044754676312216
7/12/18,0.0,0.0,0.0,2.5725,5.41,6.16,0.0,0.0,0.0,0.132327169,0.029718876,0.508991599,0.029718876,0.539230287,0.018272549,0.23988103042164266,15.419838170483596,3.1416069465068386
9/8/19,0.004,0.016,0.0,1.34,0.82,2.65,0.0,0.0,0.0,0.503294528,0.015322119,0.116828509,0.015322119,0.09093935,0.02168566,0.2705827101169153,23.47659606285165,3.3358303230895667
9/23/15,0.02,0.053,0.003,0.83,0.36,1.93,8.0,18.0,16.0,8.83829784,0.016777217,21.5028782,0.016777217,19.5997677,0.173324347,0.29520655683273384,16.48516312033077,3.1960785495740573
6/19/17,0.0,0.0,0.0,1.24,0.52,2.38,0.0,0.0,0.0,0.0,0.00094045,0.0,0.00094045,0.0,4.4e-07,0.25061052265136774,19.528144162190976,3.5961626469439385
